OBJECTID_1,CSA2010,biz1_10,biz1_11,biz1_12,biz1_13,biz1_14,biz1_15,biz1_16,biz1_17,biz1_18,biz1_19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,8.921933086,10.97046414,9.486166008,3.914590747,9.15751,5.217391304,3.686635945,3.846153846,2.9126214,4.761905,63770461.7789307,38770.1655712543
2,Beechfield/Ten Hills/West Hills,3.896103896,8.088235294,4.255319149,5.747126437,6,4.316546763,2.4,3.937007874,3.1007752,5.128205,47882527.7103882,37524.9505334027
3,Belair-Edison,8.888888889,12.05357143,7.569721116,4.651162791,4.64135,6.25,2.732240437,5.960264901,6.547619,8.522727,44950030.4731445,31307.3148434335
4,Brooklyn/Curtis Bay/Hawkins Point,2.73556231,7.487922705,6.940063091,5.303030303,5.50661,5.90809628,4.5,2.623906706,4.4692737,4.057971,176077742.748108,150987.703638971
5,Canton,7.643312102,10.86956522,11.53846154,5.25,3.35196,8.554572271,5.23255814,4.430379747,3.9513678,4.137931,15408538.2250977,23338.6119476204
6,Cedonia/Frankford,9.389671362,10.55408971,9.828009828,6.873614191,8.98618,6.504065041,2.686567164,5.333333333,4.491018,6.271777,71541340.3058472,39962.5498346815
7,Cherry Hill,3.409090909,9.420289855,5,3.105590062,8.33333,9.271523179,5.223880597,8.823529412,5.9701493,8.730159,29144181.350769,22305.3020666618
8,Chinquapin Park/Belvedere,5.714285714,7.03125,9.655172414,6.395348837,3.3557,6.976744186,5.839416058,5.511811024,5.511811,8.61244,21022590.1312866,21705.4116303126
9,Claremont/Armistead,7.344632768,7.027027027,7.894736842,4.672897196,4.32692,4.347826087,2.409638554,3.797468354,6.6326531,3.317536,61243774.4209595,40104.4159801615
10,Clifton-Berea,4.945054945,7.692307692,5.487804878,9.259259259,7.60234,4.975124378,5.46875,2.830188679,2.9850746,2.580645,23285233.9252319,24022.7646207837
11,Cross-Country/Cheswolde,3.349282297,9.32642487,5.797101449,2.602230483,6.12245,7.692307692,5.641025641,6.818181818,3.6809816,4.812834,38222018.31604,26788.3018783796
12,Dickeyville/Franklintown,3.125,5.128205128,9.375,3.636363636,2.5,7.142857143,9.090909091,5.555555556,3.3333333,3.030303,35719112.4155273,31637.8174237962
13,Dorchester/Ashburton,12.13872832,10.73446328,11.95652174,8.056872038,9.90099,4.444444444,3.921568627,5.072463768,3.6809816,9.333333,34118277.1814575,27136.0757115414
