OBJECTID_1,CSA2010,biz2_10,biz2_11,biz2_12,biz2_13,biz2_14,biz2_15,biz2_16,biz2_17,biz2_18,biz2_19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,19.33085502,15.61181435,24.50592885,19.21708185,14.652,13.47826087,16.12903226,20.32967033,14.07767,7.4074074074074,63770461.7803955,38770.165571317
2,Beechfield/Ten Hills/West Hills,22.07792208,12.5,12.05673759,19.54022989,16.6667,8.633093525,13.6,18.8976378,13.178295,8.54700854700854,47882527.7113037,37524.9505335418
3,Belair-Edison,22.66666667,18.75,23.5059761,16.27906977,11.8143,12.08333333,13.66120219,17.8807947,13.690476,15.340909090909,44950030.47229,31307.3148435252
4,Brooklyn/Curtis Bay/Hawkins Point,10.94224924,14.97584541,14.82649842,23.48484848,13.8767,12.03501094,13.5,18.36734694,14.24581,9.27536231884058,176077742.748535,150987.703639067
5,Canton,17.8343949,17.70186335,26.0989011,24.5,10.3352,12.97935103,18.89534884,24.36708861,12.462006,10,15408538.2254028,23338.6119473758
6,Cedonia/Frankford,22.30046948,17.67810026,21.13022113,19.06873614,17.0507,15.17615176,12.23880597,18.66666667,14.670659,11.1498257839721,71541340.3054199,39962.5498346627
7,Cherry Hill,5.681818182,18.84057971,16,19.25465839,11.8056,18.54304636,15.67164179,27.20588235,14.925373,15.079365079365,29144181.3508301,22305.3020666166
8,Chinquapin Park/Belvedere,21.42857143,10.9375,20,22.6744186,12.0805,13.56589147,18.97810219,22.83464567,20.472441,16.267942583732,21022590.1298218,21705.4116303026
9,Claremont/Armistead,14.68926554,14.05405405,16.84210526,18.69158879,11.0577,9.130434783,7.228915663,11.39240506,13.77551,9.47867298578199,61243774.4208984,40104.4159801398
10,Clifton-Berea,15.93406593,11.24260355,13.41463415,20.37037037,17.5439,16.91542289,14.84375,24.52830189,19.402985,8.38709677419354,23285233.9256592,24022.7646208602
11,Cross-Country/Cheswolde,22.00956938,12.95336788,19.3236715,19.70260223,9.38776,14.65201465,17.94871795,24.43181818,14.723926,9.09090909090909,38222018.3166504,26788.3018783318
12,Dickeyville/Franklintown,15.625,12.82051282,18.75,21.81818182,15,11.9047619,31.81818182,27.77777778,11.666667,9.09090909090909,35719112.4141846,31637.8174239346
13,Dorchester/Ashburton,23.69942197,20.9039548,23.91304348,26.06635071,21.7822,15,11.76470588,18.84057971,11.656442,13.3333333333333,34118277.1813965,27136.0757115035
14,Downtown/Seton Hill,19.1959799,14.28571429,17.92678755,25.02236803,12.944,15.41878173,21.37707282,28.86597938,21.060606,17.2199927033929,20736554.4072266,21565.8593945825
15,Edmondson Village,16.36363636,17.24137931,24.61538462,23.07692308,11.1111,12.5,25.92592593,29.78723404,21.428571,17.2413793103448,23563061.0448608,21504.5513578788
16,Fells Point,20.57026477,12.12121212,19.06614786,23.48484848,14.4385,14.0952381,16.04651163,22.84263959,18.181818,10.4166666666666,12620515.7177734,27670.169915882
