OBJECTID,CSA2010,artemp10,artemp11,artemp12,artemp13,artemp14,artemp15,artemp16,artemp17,artemp18,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,,0,0,0,0,0,10,10,0,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,4,5,7,4,4,4,4,4,4,47882527.7110596,37524.9505334171
3,Belair-Edison,4,33,35,35,22,12,12,12,44,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,12,17,18,14,8,27,25,25,27,176077742.748718,150987.703638772
5,Canton,2,9,5,5,6,45,9,9,22,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,15,12,15,11,13,6,6,12,18,71541340.3063965,39962.5498347165
7,Cherry Hill,,59,11,21,17,21,25,21,23,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,19,15,15,7,5,27,4,4,4,21022590.1307373,21705.411630344
9,Claremont/Armistead,22,22,22,14,15,65,2,2,2,61243774.4211426,40104.415980189
10,Clifton-Berea,,6,6,1,1,26,12,0,0,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,12,11,11,19,14,12,11,16,23,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,,0,0,3,3,3,5,35,35,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,2,6,6,6,6,6,0,0,0,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,134,559,570,551,517,1139,711,657,682,20736554.4064941,21565.859394559
15,Edmondson Village,,7,8,9,9,9,7,7,0,23563061.0443115,21504.551357829
16,Fells Point,86,93,67,89,99,97,115,151,163,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,4,7,7,7,15,7,7,6,6,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,17,12,20,24,99,90,29,25,28,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,232,273,279,350,337,323,340,338,350,27051213.4559937,26454.2692113332
20,Greater Govans,7,12,7,7,10,16,0,7,10,22698495.7178955,22982.125714974
21,Greater Mondawmin,8,51,33,31,15,18,10,1,15,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,22,24,28,30,53,48,65,65,58,56688145.1790161,39862.7497953118
23,Greater Rosemont,,16,16,16,6,11,14,9,15,42204384.5406494,32559.0762211491
24,Greenmount East,20,20,20,20,20,0,20,32,32,19072287.8240967,20797.4734578598
25,Hamilton,8,8,7,10,8,27,17,14,45,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,61,89,84,87,95,97,105,75,84,10215859.0836182,18552.4075815937
27,Harford/Echodale,16,32,36,38,29,10,27,22,24,65360039.1698608,40019.1854001996
28,Highlandtown,4,33,34,38,40,40,39,38,68,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,15,16,16,17,2,4,4,4,4,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,998,884,877,1071,1073,564,1077,1070,1076,24995836.2615967,43415.0595478862
31,Lauraville,,2,15,27,22,8,34,34,39,49665744.2354736,34419.676527973
32,Loch Raven,4,5,5,3,5,9,3,2,1,44147812.3265381,29314.3346718286
33,Madison/East End,,3,3,3,6,6,2,2,2,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,90,137,130,158,156,152,189,179,179,62441489.2398071,43152.625699222
35,Midtown,469,625,787,615,569,604,800,552,549,23823949.9294434,25020.0969698082
36,Midway/Coldstream,3,8,8,11,3,11,4,4,8,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,,2,12,3,4,4,9,6,8,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,76,141,20,27,25,29,28,25,25,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,50,72,75,72,89,51,90,73,74,74923987.6937256,42904.2221443544
40,Northwood,5,41,44,47,53,51,48,89,91,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,14,166,162,156,156,156,94,239,109,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,55,61,62,66,61,17,66,60,75,89894372.2113037,47825.8629266244
43,Patterson Park North & East,30,47,47,30,7,19,9,6,6,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,85,25,25,321,21,25,23,12,244,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,7,22,19,22,19,26,24,10,3,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,21,17,15,6,6,63,14,12,12,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,4,0,2,2,,1,27,1,1,23672092.8682861,20987.1433066354
48,South Baltimore,42,42,39,3,55,54,7,47,76,46353935.4255981,68440.0258266401
49,Southeastern,18,18,17,14,48,48,42,42,43,111251478.472229,102291.480547698
50,Southern Park Heights,,0,3,17,10,10,10,10,40,27876227.5908203,24052.221372193
51,Southwest Baltimore,8,11,10,18,13,7,18,46,49,37766068.8365479,28355.563581391
52,The Waverlies,,3,5,7,9,5,6,11,18,20383750.5437012,18733.826879757
53,Upton/Druid Heights,2,25,23,24,23,3,27,22,18,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,57,84,84,63,101,48,67,64,64,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,73,12,12,8,12,16,0,0,0,45494092.9501953,42573.1244161851
